city_name,apparent_temperature_max,apparent_temperature_min
Copenhagen,0.7,-2.9
Copenhagen,-2.7,-4.9
Copenhagen,2.4,-2.6
Copenhagen,-1.0,-3.8
Copenhagen,1.3,-4.4
Copenhagen,3.1,0.6
Copenhagen,3.3,-1.3
Copenhagen,4.4,-0.5
Copenhagen,6.3,-0.7
Copenhagen,5.4,0.7
Copenhagen,1.0,-2.0
Copenhagen,1.8,-0.9
Copenhagen,1.7,-0.4
Copenhagen,2.8,-2.3
Copenhagen,4.8,0.3
Copenhagen,3.2,0.0
Copenhagen,2.6,0.4
Copenhagen,2.9,-1.3
Copenhagen,2.4,-2.7
Copenhagen,1.4,-2.6
Copenhagen,2.5,-0.6
Copenhagen,3.2,-2.4
Copenhagen,1.2,-3.1
Copenhagen,2.4,1.1
Copenhagen,3.7,0.2
Copenhagen,0.2,-2.4
Copenhagen,1.6,-1.6
Copenhagen,1.9,-1.3
Copenhagen,-0.1,-2.6
Copenhagen,3.3,-3.5
Copenhagen,3.6,0.3
Copenhagen,4.4,0.4
Copenhagen,0.8,-2.7
Copenhagen,2.1,-1.8
Copenhagen,-0.5,-4.4
Copenhagen,0.4,-4.8
Copenhagen,3.5,-1.5
Copenhagen,1.4,-2.5
Copenhagen,1.5,-0.5
Copenhagen,2.4,-2.2
Copenhagen,1.2,-3.4
Copenhagen,-1.2,-3.9
Copenhagen,-1.8,-3.6
Copenhagen,1.0,-3.4
Copenhagen,3.8,-2.0
Copenhagen,2.4,-1.7
Copenhagen,5.8,-0.6
Copenhagen,0.2,-3.1
Copenhagen,0.2,-1.8
Copenhagen,1.0,-2.1
Copenhagen,0.0,-2.5
Copenhagen,1.4,-2.5
Copenhagen,0.1,-2.7
Copenhagen,-0.2,-2.9
Copenhagen,2.2,-4.0
Copenhagen,-0.2,-5.1
Copenhagen,-1.3,-4.9
Copenhagen,-0.2,-4.9
Copenhagen,0.8,-3.8
Copenhagen,1.4,-3.9
Copenhagen,0.3,-2.3
Copenhagen,3.0,-0.7
Copenhagen,2.8,-1.6
Copenhagen,2.1,-1.4
Copenhagen,1.3,-2.1
Copenhagen,0.5,-2.7
Copenhagen,3.2,-2.0
Copenhagen,3.3,-1.2
Copenhagen,6.5,0.0
Copenhagen,3.2,-1.8
Copenhagen,2.5,-1.2
Copenhagen,1.4,-3.9
Copenhagen,0.3,-4.7
Copenhagen,1.0,-5.1
Copenhagen,2.9,-3.1
Copenhagen,6.0,2.1
Copenhagen,3.6,-0.5
Copenhagen,5.1,1.6
Copenhagen,4.4,-0.8
Copenhagen,4.3,-3.8
Copenhagen,1.1,-4.7
Copenhagen,-0.8,-5.4
Copenhagen,-2.0,-4.0
Copenhagen,-0.8,-3.0
Copenhagen,-0.5,-2.2
Copenhagen,3.0,-1.9
Copenhagen,6.7,-1.9
Copenhagen,7.3,-2.2
Copenhagen,-0.9,-6.7
Copenhagen,1.3,-5.2
Copenhagen,1.1,-6.2
Copenhagen,2.8,-0.9
Copenhagen,1.9,-3.8
Copenhagen,-1.2,-3.8
Copenhagen,4.3,-3.0
Copenhagen,5.3,-1.5
Copenhagen,6.2,1.3
Copenhagen,9.1,2.0
Copenhagen,6.8,0.1
Copenhagen,5.4,0.3
Copenhagen,6.2,-0.7
Copenhagen,5.2,-0.4
Copenhagen,11.8,0.8
Copenhagen,0.3,-2.2
Copenhagen,2.5,-2.7
Copenhagen,7.6,-0.5
Copenhagen,6.4,0.0
Copenhagen,8.9,0.0
Copenhagen,7.0,-2.1
Copenhagen,8.9,-0.6
Copenhagen,11.5,-0.2
Copenhagen,12.0,2.3
Copenhagen,13.0,2.7
Copenhagen,16.4,3.8
Copenhagen,11.7,3.0
Copenhagen,8.6,1.9
Copenhagen,9.0,2.0
Copenhagen,8.2,3.3
Copenhagen,8.4,4.0
Copenhagen,4.1,-1.5
Copenhagen,8.3,-1.2
Copenhagen,7.8,3.6
Copenhagen,8.8,3.8
Copenhagen,9.5,3.0
Copenhagen,7.9,1.9
Copenhagen,6.0,0.9
Copenhagen,6.8,1.7
Copenhagen,11.5,3.2
Copenhagen,12.7,2.8
Copenhagen,15.5,4.9
Copenhagen,16.0,3.1
Copenhagen,2.9,-1.4
Copenhagen,4.9,-0.7
Copenhagen,5.9,-0.3
Copenhagen,5.9,-1.1
Copenhagen,7.3,0.5
Copenhagen,5.2,2.0
Copenhagen,8.4,2.4
Copenhagen,10.7,5.3
Copenhagen,9.1,4.1
Copenhagen,12.4,3.6
Copenhagen,12.6,5.1
Copenhagen,9.8,5.7
Copenhagen,14.4,6.2
Copenhagen,9.2,6.4
Copenhagen,13.3,6.7
Copenhagen,13.3,6.1
Copenhagen,13.6,6.9
Copenhagen,15.9,6.2
Copenhagen,16.1,4.8
Copenhagen,17.3,6.9
Copenhagen,19.1,7.5
Copenhagen,18.9,8.6
Copenhagen,20.9,10.1
Copenhagen,14.7,7.9
Copenhagen,13.3,6.3
Copenhagen,11.7,6.3
Copenhagen,9.2,4.3
Copenhagen,14.0,8.4
Copenhagen,15.7,8.5
Copenhagen,16.9,7.3
Copenhagen,18.9,9.4
Copenhagen,20.4,11.0
Copenhagen,17.2,12.9
Copenhagen,18.1,11.5
Copenhagen,17.7,10.9
Copenhagen,19.8,10.8
Copenhagen,23.9,11.6
Copenhagen,19.4,14.1
Copenhagen,21.8,13.9
Copenhagen,21.8,16.3
Copenhagen,20.9,16.1
Copenhagen,19.4,14.6
Copenhagen,17.8,12.9
Copenhagen,20.6,12.2
Copenhagen,25.6,13.8
Copenhagen,26.5,13.3
Copenhagen,26.3,18.1
Copenhagen,24.8,18.6
Copenhagen,23.3,15.0
Copenhagen,17.9,13.8
Copenhagen,12.6,10.3
Copenhagen,17.6,10.6
Copenhagen,18.7,13.1
Copenhagen,15.5,10.6
Copenhagen,15.4,11.8
Copenhagen,16.3,10.2
Copenhagen,12.3,7.4
Copenhagen,12.3,6.7
Copenhagen,11.8,6.9
Copenhagen,13.3,8.4
Copenhagen,14.2,8.1
Copenhagen,12.7,7.5
Copenhagen,12.7,8.2
Copenhagen,15.4,9.4
Copenhagen,18.0,11.3
Copenhagen,16.6,12.5
Copenhagen,16.0,11.9
Copenhagen,20.8,12.6
Copenhagen,20.8,13.3
Copenhagen,23.0,16.7
Copenhagen,17.4,10.7
Copenhagen,13.5,9.4
Copenhagen,14.7,9.0
Copenhagen,16.5,9.9
Copenhagen,18.2,12.2
Copenhagen,16.7,10.7
Copenhagen,18.5,13.8
Copenhagen,17.7,13.2
Copenhagen,19.8,11.2
Copenhagen,12.8,9.3
Copenhagen,13.5,9.0
Copenhagen,20.3,11.1
Copenhagen,19.2,11.9
Copenhagen,20.2,15.7
Copenhagen,17.1,12.0
Copenhagen,16.3,10.5
Copenhagen,19.0,11.2
Copenhagen,21.8,15.3
Copenhagen,25.1,17.8
Copenhagen,28.8,17.3
Copenhagen,30.1,17.6
Copenhagen,27.2,18.2
Copenhagen,23.8,16.9
Copenhagen,22.3,15.9
Copenhagen,24.7,15.3
Copenhagen,25.0,14.5
Copenhagen,27.0,16.0
Copenhagen,25.7,16.3
Copenhagen,25.0,19.6
Copenhagen,25.1,19.3
Copenhagen,23.2,19.2
Copenhagen,22.1,20.1
Copenhagen,23.8,18.8
Copenhagen,21.6,15.7
Copenhagen,16.8,14.1
Copenhagen,17.1,12.3
Copenhagen,15.0,10.4
Copenhagen,19.0,13.4
Copenhagen,16.4,14.2
Copenhagen,16.0,12.0
